"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9"
"1001",270348.00,29.30,9220.61,41.90,35687.00,254860.00,257570.00,102840.00,130055.00
"10010165",506.00,1326.30,0.38,44.40,40192.00,515.00,530.00,250.00,320.00
"10010166",327.00,3427.70,0.10,45.30,43904.00,260.00,260.00,105.00,170.00
"10010167",431.00,3407.10,0.13,44.70,39936.00,335.00,340.00,125.00,185.00
"10010168",524.00,2743.50,0.19,46.20,40747.00,510.00,510.00,230.00,370.00
"10010169",311.00,4705.00,0.07,42.20,37824.00,275.00,295.00,105.00,165.00
"10010170",397.00,2678.80,0.15,43.50,41856.00,445.00,445.00,185.00,250.00
"10010171",484.00,3781.30,0.13,41.10,43349.00,445.00,435.00,205.00,240.00
"10010172",226.00,2716.30,0.08,39.20,,215.00,215.00,60.00,80.00
"10010173",887.00,3508.70,0.25,37.60,41216.00,880.00,885.00,395.00,505.00
"10010174",887.00,3733.20,0.24,43.10,44160.00,895.00,895.00,415.00,525.00
"10010175",969.00,3625.10,0.27,36.80,29216.00,930.00,945.00,340.00,410.00
"10010176",438.00,1894.50,0.23,39.20,31136.00,405.00,405.00,135.00,170.00
"10010180",538.00,305.90,1.76,43.10,44544.00,510.00,540.00,195.00,285.00
"10010181",375.00,1998.90,0.19,48.80,39808.00,380.00,375.00,130.00,170.00
"10010182",369.00,3572.10,0.10,44.60,37632.00,345.00,345.00,120.00,165.00
"10010187",697.00,2761.50,0.25,44.30,35072.00,685.00,700.00,270.00,335.00
"10010191",721.00,82.50,8.74,40.20,24960.00,630.00,630.00,145.00,160.00
"10010192",304.00,2290.90,0.13,42.60,25408.00,330.00,330.00,105.00,130.00
"10010193",472.00,1669.60,0.28,41.40,27136.00,415.00,430.00,105.00,145.00
"10010194",237.00,250.90,0.94,43.40,,250.00,255.00,65.00,75.00
"10010195",670.00,1036.80,0.65,43.60,38912.00,555.00,590.00,320.00,375.00
"10010196",540.00,1937.60,0.28,48.80,37440.00,455.00,490.00,170.00,300.00
"10010198",433.00,4171.50,0.10,43.10,44544.00,380.00,385.00,195.00,235.00
"10010199",335.00,2803.30,0.12,57.00,,165.00,165.00,50.00,80.00
"10010200",410.00,2640.10,0.16,45.10,35968.00,340.00,365.00,180.00,220.00
"10010201",464.00,3034.70,0.15,43.20,34688.00,445.00,450.00,190.00,230.00
"10010202",444.00,4192.60,0.11,41.80,30656.00,465.00,470.00,155.00,190.00
"10010203",350.00,2606.10,0.13,47.10,31648.00,320.00,315.00,90.00,130.00
"10010204",541.00,2806.00,0.19,39.20,25536.00,515.00,515.00,150.00,230.00
"10010206",748.00,1873.70,0.40,48.90,32800.00,685.00,725.00,255.00,390.00
"10010207",1302.00,3598.70,0.36,37.80,31667.00,1215.00,1270.00,465.00,535.00
"10010208",1572.00,708.60,2.22,38.40,27008.00,1435.00,1410.00,490.00,640.00
"10010209",491.00,2360.60,0.21,44.90,29568.00,475.00,475.00,175.00,185.00
"10010210",412.00,1464.60,0.28,41.40,29888.00,470.00,470.00,160.00,205.00
"10010211",693.00,3073.20,0.23,49.30,31424.00,705.00,735.00,260.00,355.00
"10010212",413.00,2307.30,0.18,43.90,35115.00,435.00,460.00,225.00,300.00
"10010213",730.00,3832.00,0.19,53.40,28480.00,650.00,665.00,250.00,390.00
"10010214",356.00,3844.50,0.09,36.50,28224.00,290.00,290.00,100.00,110.00
"10010215",381.00,2884.20,0.13,41.80,28384.00,365.00,360.00,130.00,160.00
"10010216",361.00,3284.80,0.11,41.10,37632.00,255.00,265.00,115.00,160.00
"10010217",319.00,2440.70,0.13,45.70,35200.00,240.00,250.00,140.00,175.00
"10010218",338.00,3373.30,0.10,47.90,18592.00,320.00,325.00,60.00,75.00
"10010219",632.00,1663.60,0.38,44.30,24768.00,620.00,630.00,235.00,260.00
"10010220",340.00,1345.50,0.25,41.50,28096.00,325.00,320.00,100.00,145.00
"10010221",552.00,3120.40,0.18,46.70,23648.00,505.00,510.00,190.00,230.00
"10010222",550.00,1679.90,0.33,40.80,32064.00,540.00,540.00,215.00,250.00
"10010223",492.00,2524.40,0.19,43.20,25184.00,500.00,515.00,205.00,260.00
"10010224",445.00,5039.60,0.09,46.80,28864.00,455.00,460.00,205.00,245.00
"10010225",262.00,5368.90,0.05,42.70,23584.00,225.00,230.00,95.00,110.00
"10010226",588.00,4236.30,0.14,35.00,19872.00,515.00,505.00,65.00,90.00
"10010227",398.00,6921.70,0.06,37.30,29632.00,365.00,350.00,170.00,185.00
"10010228",375.00,3501.40,0.11,39.90,24768.00,410.00,440.00,190.00,210.00
"10010229",426.00,5272.30,0.08,39.60,28864.00,400.00,420.00,225.00,265.00
"10010230",472.00,6310.20,0.07,46.90,25488.00,475.00,465.00,215.00,225.00
"10010231",547.00,4972.70,0.11,38.00,26432.00,480.00,485.00,180.00,245.00
"10010232",400.00,5256.20,0.08,42.50,26832.00,350.00,355.00,170.00,190.00
"10010233",374.00,3001.60,0.12,36.50,18880.00,345.00,340.00,85.00,130.00
"10010234",473.00,4587.80,0.10,41.20,29632.00,365.00,390.00,235.00,285.00
"10010235",265.00,3223.80,0.08,40.90,17749.00,295.00,295.00,60.00,100.00
"10010236",504.00,4809.20,0.10,34.10,15221.00,410.00,425.00,125.00,165.00
"10010237",458.00,1340.40,0.34,38.40,21792.00,280.00,310.00,190.00,275.00
"10010238",477.00,2321.20,0.21,39.30,21760.00,340.00,365.00,160.00,255.00
"10010239",562.00,5026.80,0.11,35.70,21312.00,450.00,440.00,235.00,305.00
"10010240",671.00,3236.90,0.21,33.20,18240.00,525.00,485.00,220.00,310.00
"10010241",473.00,3335.70,0.14,45.90,20749.00,390.00,390.00,105.00,175.00
"10010242",642.00,3654.00,0.18,36.10,22144.00,595.00,625.00,190.00,240.00
"10010243",861.00,187.80,4.59,34.60,35328.00,725.00,720.00,335.00,390.00
"10010244",756.00,1253.50,0.60,37.70,23360.00,600.00,600.00,315.00,390.00
"10010245",475.00,3806.10,0.12,37.20,27616.00,430.00,425.00,170.00,195.00
"10010246",419.00,2873.80,0.15,40.10,28352.00,405.00,405.00,170.00,225.00
"10010247",389.00,2382.10,0.16,40.50,28096.00,260.00,275.00,90.00,180.00
"10010248",373.00,2411.10,0.15,41.70,29248.00,215.00,230.00,110.00,190.00
"10010249",471.00,192.40,2.45,36.30,22208.00,370.00,350.00,235.00,300.00
"10010250",542.00,924.90,0.59,36.30,21216.00,405.00,450.00,185.00,260.00
"10010251",401.00,2927.00,0.14,42.00,34816.00,360.00,380.00,240.00,315.00
"10010252",506.00,2631.30,0.19,48.30,45696.00,350.00,420.00,235.00,340.00
"10010253",387.00,1334.00,0.29,44.40,47680.00,330.00,350.00,200.00,260.00
"10010254",771.00,1727.90,0.45,53.40,43008.00,505.00,540.00,310.00,390.00
"10010255",490.00,2569.50,0.19,45.30,46848.00,400.00,445.00,225.00,310.00
"10010256",418.00,1641.10,0.25,48.60,35627.00,350.00,355.00,165.00,230.00
"10010257",512.00,2196.50,0.23,43.20,49280.00,420.00,450.00,210.00,295.00
"10010258",629.00,2435.20,0.26,51.40,44288.00,485.00,535.00,275.00,350.00
"10010259",538.00,3424.60,0.16,40.40,26816.00,475.00,475.00,210.00,250.00
"10010260",434.00,2320.90,0.19,45.30,40128.00,475.00,480.00,225.00,285.00
"10010261",534.00,2630.50,0.20,42.50,34368.00,455.00,470.00,235.00,330.00
"10010262",493.00,3818.70,0.13,37.80,26464.00,320.00,310.00,220.00,280.00
"10010263",564.00,3184.60,0.18,40.50,39552.00,525.00,525.00,250.00,345.00
"10010264",495.00,3053.70,0.16,45.10,34389.00,505.00,490.00,195.00,280.00
"10010265",535.00,3178.80,0.17,42.90,43648.00,440.00,460.00,220.00,320.00
"10010266",708.00,2561.50,0.28,44.80,35200.00,635.00,645.00,295.00,355.00
"10010267",597.00,2138.30,0.28,47.80,43622.00,620.00,615.00,280.00,415.00
"10010268",294.00,1551.50,0.19,49.20,42880.00,260.00,265.00,105.00,155.00
"10010269",1091.00,3093.30,0.35,41.60,46037.00,955.00,960.00,495.00,645.00
"10010270",789.00,1688.40,0.47,42.50,41515.00,775.00,755.00,320.00,475.00
"10010271",477.00,871.10,0.55,38.10,64512.00,435.00,435.00,220.00,280.00
"10010272",553.00,2165.20,0.26,40.60,74112.00,545.00,535.00,265.00,360.00
"10010273",1532.00,1786.00,0.86,39.00,52838.00,1310.00,1335.00,655.00,820.00
"10010276",256.00,2807.00,0.09,44.10,38336.00,185.00,190.00,85.00,120.00
"10010277",445.00,2800.50,0.16,40.80,29728.00,375.00,375.00,105.00,135.00
"10010278",208.00,3580.00,0.06,42.00,,215.00,200.00,85.00,135.00
