,naics,countOsm,countStatcan,osmCompleteness,population density,median income,ale_index,% non-immigrants,% not a visible minority,% postsecondary
0,447,1,0,inf,6406.7,31200.0,1.0657554,0.5756578947368421,0.625,0.39473684210526316
1,8131,1,0,inf,6406.7,31200.0,1.0657554,0.5756578947368421,0.625,0.39473684210526316
2,44512,1,0,inf,6406.7,31200.0,1.0657554,0.5756578947368421,0.625,0.39473684210526316
3,44711,1,0,inf,6406.7,31200.0,1.0657554,0.5756578947368421,0.625,0.39473684210526316
4,81293,1,0,inf,6406.7,31200.0,1.0657554,0.5756578947368421,0.625,0.39473684210526316
5,8133,1,0,inf,693.0,34048.0,1.7589738,0.6129597197898424,0.8231173380035026,0.4203152364273205
6,8134,1,0,inf,693.0,34048.0,1.7589738,0.6129597197898424,0.8231173380035026,0.4203152364273205
7,44314,1,0,inf,693.0,34048.0,1.7589738,0.6129597197898424,0.8231173380035026,0.4203152364273205
8,44512,1,0,inf,693.0,34048.0,1.7589738,0.6129597197898424,0.8231173380035026,0.4203152364273205
9,44711,1,0,inf,693.0,34048.0,1.7589738,0.6129597197898424,0.8231173380035026,0.4203152364273205
10,54111,1,1,1.0,693.0,34048.0,1.7589738,0.6129597197898424,0.8231173380035026,0.4203152364273205
11,61161,1,0,inf,693.0,34048.0,1.7589738,0.6129597197898424,0.8231173380035026,0.4203152364273205
12,71394,1,0,inf,693.0,34048.0,1.7589738,0.6129597197898424,0.8231173380035026,0.4203152364273205
13,81293,24,0,inf,693.0,34048.0,1.7589738,0.6129597197898424,0.8231173380035026,0.4203152364273205
14,81392,1,0,inf,693.0,34048.0,1.7589738,0.6129597197898424,0.8231173380035026,0.4203152364273205
15,81293,2,0,inf,5299.1,33920.0,1.5985839,0.5887096774193549,0.7338709677419355,0.3629032258064516
16,44512,1,0,inf,3961.4,36992.0,0.068907693,0.7926829268292683,0.8292682926829268,0.5853658536585366
17,44711,1,0,inf,3961.4,36992.0,0.068907693,0.7926829268292683,0.8292682926829268,0.5853658536585366
18,81293,1,0,inf,3961.4,36992.0,0.068907693,0.7926829268292683,0.8292682926829268,0.5853658536585366
19,722511,1,0,inf,3961.4,36992.0,0.068907693,0.7926829268292683,0.8292682926829268,0.5853658536585366
20,447,1,0,inf,854.7,30912.0,1.027679,0.4189189189189189,0.5945945945945946,0.21621621621621623
21,8111,2,12,0.16666666666666666,854.7,30912.0,1.027679,0.4189189189189189,0.5945945945945946,0.21621621621621623
22,44131,1,0,inf,854.7,30912.0,1.027679,0.4189189189189189,0.5945945945945946,0.21621621621621623
23,81293,1,0,inf,854.7,30912.0,1.027679,0.4189189189189189,0.5945945945945946,0.21621621621621623
24,441220,1,1,1.0,854.7,30912.0,1.027679,0.4189189189189189,0.5945945945945946,0.21621621621621623
25,722511,1,0,inf,854.7,30912.0,1.027679,0.4189189189189189,0.5945945945945946,0.21621621621621623
26,6111,1,0,inf,1134.4,33280.0,-0.73143739,0.6468172484599589,0.8521560574948666,0.4209445585215606
27,8111,1,2,0.5,1134.4,33280.0,-0.73143739,0.6468172484599589,0.8521560574948666,0.4209445585215606
28,81293,1,0,inf,1134.4,33280.0,-0.73143739,0.6468172484599589,0.8521560574948666,0.4209445585215606
29,447,1,1,1.0,1209.8,34368.0,-0.22341123,0.5348460291734197,0.7212317666126418,0.3646677471636953
30,8111,1,2,0.5,1209.8,34368.0,-0.22341123,0.5348460291734197,0.7212317666126418,0.3646677471636953
31,44221,1,0,inf,1209.8,34368.0,-0.22341123,0.5348460291734197,0.7212317666126418,0.3646677471636953
32,53113,1,0,inf,1209.8,34368.0,-0.22341123,0.5348460291734197,0.7212317666126418,0.3646677471636953
33,81293,16,0,inf,1209.8,34368.0,-0.22341123,0.5348460291734197,0.7212317666126418,0.3646677471636953
34,6111,1,0,inf,3245.3,40277.0,0.56102532,0.712468193384224,0.8269720101781171,0.5216284987277354
35,44512,1,0,inf,3245.3,40277.0,0.56102532,0.712468193384224,0.8269720101781171,0.5216284987277354
36,44711,1,0,inf,3245.3,40277.0,0.56102532,0.712468193384224,0.8269720101781171,0.5216284987277354
37,81293,2,0,inf,3245.3,40277.0,0.56102532,0.712468193384224,0.8269720101781171,0.5216284987277354
38,722512,1,1,1.0,3245.3,40277.0,0.56102532,0.712468193384224,0.8269720101781171,0.5216284987277354
39,812115,1,0,inf,3245.3,40277.0,0.56102532,0.712468193384224,0.8269720101781171,0.5216284987277354
40,5221,2,2,1.0,2254.4,29568.0,0.91848928,0.6610800744878957,0.8938547486033519,0.33519553072625696
41,8111,1,0,inf,2254.4,29568.0,0.91848928,0.6610800744878957,0.8938547486033519,0.33519553072625696
42,8123,1,0,inf,2254.4,29568.0,0.91848928,0.6610800744878957,0.8938547486033519,0.33519553072625696
43,8131,2,1,2.0,2254.4,29568.0,0.91848928,0.6610800744878957,0.8938547486033519,0.33519553072625696
44,44511,1,0,inf,2254.4,29568.0,0.91848928,0.6610800744878957,0.8938547486033519,0.33519553072625696
45,44512,1,0,inf,2254.4,29568.0,0.91848928,0.6610800744878957,0.8938547486033519,0.33519553072625696
46,44611,1,0,inf,2254.4,29568.0,0.91848928,0.6610800744878957,0.8938547486033519,0.33519553072625696
47,44711,1,0,inf,2254.4,29568.0,0.91848928,0.6610800744878957,0.8938547486033519,0.33519553072625696
48,72111,1,1,1.0,2254.4,29568.0,0.91848928,0.6610800744878957,0.8938547486033519,0.33519553072625696
49,72112,1,0,inf,2254.4,29568.0,0.91848928,0.6610800744878957,0.8938547486033519,0.33519553072625696
50,81293,14,0,inf,2254.4,29568.0,0.91848928,0.6610800744878957,0.8938547486033519,0.33519553072625696
51,452110,1,0,inf,2254.4,29568.0,0.91848928,0.6610800744878957,0.8938547486033519,0.33519553072625696
52,812114,1,0,inf,2254.4,29568.0,0.91848928,0.6610800744878957,0.8938547486033519,0.33519553072625696
53,812115,1,0,inf,2254.4,29568.0,0.91848928,0.6610800744878957,0.8938547486033519,0.33519553072625696
54,447,1,0,inf,3407.0,34603.0,1.3124542,0.5289139633286318,0.6699576868829337,0.4090267983074753
55,491,1,0,inf,3407.0,34603.0,1.3124542,0.5289139633286318,0.6699576868829337,0.4090267983074753
56,5312,1,1,1.0,3407.0,34603.0,1.3124542,0.5289139633286318,0.6699576868829337,0.4090267983074753
57,6111,1,0,inf,3407.0,34603.0,1.3124542,0.5289139633286318,0.6699576868829337,0.4090267983074753
58,8131,1,0,inf,3407.0,34603.0,1.3124542,0.5289139633286318,0.6699576868829337,0.4090267983074753
59,44512,1,0,inf,3407.0,34603.0,1.3124542,0.5289139633286318,0.6699576868829337,0.4090267983074753
60,44611,1,2,0.5,3407.0,34603.0,1.3124542,0.5289139633286318,0.6699576868829337,0.4090267983074753
61,44711,1,0,inf,3407.0,34603.0,1.3124542,0.5289139633286318,0.6699576868829337,0.4090267983074753
62,72111,1,2,0.5,3407.0,34603.0,1.3124542,0.5289139633286318,0.6699576868829337,0.4090267983074753
63,72112,1,0,inf,3407.0,34603.0,1.3124542,0.5289139633286318,0.6699576868829337,0.4090267983074753
64,81293,16,0,inf,3407.0,34603.0,1.3124542,0.5289139633286318,0.6699576868829337,0.4090267983074753
65,522291,1,0,inf,3407.0,34603.0,1.3124542,0.5289139633286318,0.6699576868829337,0.4090267983074753
66,722511,2,1,2.0,3407.0,34603.0,1.3124542,0.5289139633286318,0.6699576868829337,0.4090267983074753
67,812115,1,0,inf,3407.0,34603.0,1.3124542,0.5289139633286318,0.6699576868829337,0.4090267983074753
68,4531,1,0,inf,3197.0,39680.0,2.0648055,0.7464454976303317,0.8175355450236966,0.5687203791469194
69,8123,1,0,inf,3197.0,39680.0,2.0648055,0.7464454976303317,0.8175355450236966,0.5687203791469194
70,44512,1,1,1.0,3197.0,39680.0,2.0648055,0.7464454976303317,0.8175355450236966,0.5687203791469194
71,44611,1,1,1.0,3197.0,39680.0,2.0648055,0.7464454976303317,0.8175355450236966,0.5687203791469194
72,44711,1,0,inf,3197.0,39680.0,2.0648055,0.7464454976303317,0.8175355450236966,0.5687203791469194
73,54194,2,2,1.0,3197.0,39680.0,2.0648055,0.7464454976303317,0.8175355450236966,0.5687203791469194
74,56151,1,0,inf,3197.0,39680.0,2.0648055,0.7464454976303317,0.8175355450236966,0.5687203791469194
75,61161,1,0,inf,3197.0,39680.0,2.0648055,0.7464454976303317,0.8175355450236966,0.5687203791469194
76,81293,1,0,inf,3197.0,39680.0,2.0648055,0.7464454976303317,0.8175355450236966,0.5687203791469194
77,445291,1,0,inf,3197.0,39680.0,2.0648055,0.7464454976303317,0.8175355450236966,0.5687203791469194
78,722511,1,2,0.5,3197.0,39680.0,2.0648055,0.7464454976303317,0.8175355450236966,0.5687203791469194
79,722512,3,0,inf,3197.0,39680.0,2.0648055,0.7464454976303317,0.8175355450236966,0.5687203791469194
80,812114,3,0,inf,3197.0,39680.0,2.0648055,0.7464454976303317,0.8175355450236966,0.5687203791469194
81,812115,2,1,2.0,3197.0,39680.0,2.0648055,0.7464454976303317,0.8175355450236966,0.5687203791469194
82,447,1,0,inf,2191.7,46016.0,1.1639788,0.6369426751592356,0.6794055201698513,0.5626326963906582
83,4421,1,0,inf,2191.7,46016.0,1.1639788,0.6369426751592356,0.6794055201698513,0.5626326963906582
84,4453,1,0,inf,2191.7,46016.0,1.1639788,0.6369426751592356,0.6794055201698513,0.5626326963906582
85,5221,3,1,3.0,2191.7,46016.0,1.1639788,0.6369426751592356,0.6794055201698513,0.5626326963906582
86,5312,1,0,inf,2191.7,46016.0,1.1639788,0.6369426751592356,0.6794055201698513,0.5626326963906582
87,5613,1,1,1.0,2191.7,46016.0,1.1639788,0.6369426751592356,0.6794055201698513,0.5626326963906582
88,6111,1,0,inf,2191.7,46016.0,1.1639788,0.6369426751592356,0.6794055201698513,0.5626326963906582
