da,naics,countOsm,countStatcan,osmCompleteness
24760079,111,1,1,1.0
24760079,112,1,2,0.5
24760079,44512,1,0,inf
24760079,44711,1,1,1.0
24760079,71393,1,1,1.0
24760079,81293,3,0,inf
24760079,721211,1,0,inf
24810372,71212,1,0,inf
24710202,8131,1,1,1.0
24710137,6111,1,0,inf
24710137,71393,1,0,inf
24760082,447,2,2,1.0
24760082,4411,1,1,1.0
24760082,4453,1,0,inf
24760082,6111,1,0,inf
24760082,44411,1,1,1.0
24760082,44511,1,1,1.0
24760082,44512,3,1,3.0
24760082,44711,3,1,3.0
24760082,51213,1,0,inf
24760082,71321,1,0,inf
24760082,81293,2,0,inf
24760082,445291,1,0,inf
24760082,532112,1,0,inf
24760082,722511,2,1,2.0
24760092,71212,1,0,inf
24760092,81293,1,0,inf
35060078,447,1,0,inf
35060078,4531,1,0,inf
35060078,8123,1,0,inf
35060078,44512,1,0,inf
35060078,44711,1,0,inf
35060078,52421,1,0,inf
35060078,54194,1,0,inf
35060078,81293,1,0,inf
35060078,722512,1,0,inf
35060080,8131,1,0,inf
35060080,81293,1,0,inf
35060081,81293,1,0,inf
35060082,81293,1,0,inf
35060089,111,35,1,35.0
35060089,112,35,0,inf
35060089,447,1,2,0.5
35060089,491,1,0,inf
35060089,6111,3,0,inf
35060089,8131,3,1,3.0
35060089,44131,1,1,1.0
35060089,44314,1,1,1.0
35060089,44411,1,1,1.0
35060089,44512,1,0,inf
35060089,44711,1,2,0.5
35060089,45391,1,1,1.0
35060089,71391,1,1,1.0
35060089,81293,29,0,inf
35060089,722511,2,2,1.0
35060089,722512,3,2,1.5
35060090,81293,1,0,inf
35060093,447,1,0,inf
35060093,8123,1,0,inf
35060093,44512,1,0,inf
35060093,44711,1,0,inf
35060093,45391,1,0,inf
35060093,445291,1,0,inf
35060093,722512,1,1,1.0
35060093,812114,1,0,inf
35060094,6111,3,0,inf
35060094,81293,5,0,inf
35010359,6111,1,0,inf
35010359,44131,1,2,0.5
35010359,44221,1,1,1.0
35010359,44611,1,2,0.5
35010359,52421,1,3,0.3333333333333333
35010359,71394,1,1,1.0
35010359,81293,2,0,inf
35010359,541212,1,4,0.25
35010359,722512,2,6,0.3333333333333333
24800091,8131,1,0,inf
24800091,44512,1,1,1.0
24800091,44523,1,0,inf
24800091,44711,1,0,inf
24800091,81293,1,0,inf
35020102,447,2,2,1.0
35020102,44512,1,2,0.5
35020102,44711,1,2,0.5
35020102,721211,1,1,1.0
35020102,722512,1,1,1.0
35020103,447,1,0,inf
35020103,491,1,0,inf
35020103,8131,1,0,inf
35020103,44512,1,0,inf
35020103,44711,1,0,inf
35020103,51912,1,0,inf
